בק האמן שצייר לפי,placeholder,בָּק הָאָמָּן שֶׁצִּיֵּר לְפִי
תומו קישוטי סוכה,placeholder,תֻּמֹּו קִשּׁוּטֵי סֻכָּה
ומזרחים ממש כמו,placeholder,וּמִזְרָחִים מַמָּשׁ כְּמוֹ
חיים שיבחה באוזניו,placeholder,חַיִּים שִׁבְּחָה בְּאָזְנָיו
את ארבע החיות שצייר,placeholder,אֶת אַרְבַּע הַחַיּוֹת שֶׁצִּיֵּר
על תקרת היכל הישיבה,placeholder,עַל תִּקְרַת הֵיכַל הַיְּשִׁיבָה
הגדולה במאה-שערים,placeholder,הַגְּדוֹלָה בְּמֵאָה-שְׁעָרִים
כדי להמחיש ללומדים את,placeholder,כְּדֵי לְהַמְחִישׁ לַלּוֹמְדִים אֶת
הציווי הוי עז כנמר,placeholder,הַצִּוּוּי הֱוֵי עֵז כַּנָּמֵר
וקל כנשר רץ כצבי,placeholder,וְקַל כַּנֶּשֶׁר רָץ כַּצְּבִי
וגיבור כארי לעשות,placeholder,וְגִבּוֹר כָּאֲרִי לַעֲשׂוֹת
רצון אביך שבשמים,placeholder,רְצוֹן אָבִיךָ שֶׁבַּשָּׁמַיִם
ואמרה כי בעיניה הוא,placeholder,וְאָמְרָה כִּי בְּעֵינֶיהָ הוּא
אמן חכם-לב ממש בצלאל,placeholder,אָמָּן חֲכַם-לֵב מַמָּשׁ בְּצַלְאֵל
בן אורי של ימינו אבל,placeholder,בֵּן אוּרִי שֶׁל יָמֵינוּ אֲבָל
גדולים מעשי אלוקינו,placeholder,גְּדוֹלִים מַעֲשֵׂי אֱלֹקֵינוּ
הצטנע בק ירא-השמים,placeholder,הִצְטַנֵּעַ בָּק יְרֵא-הַשָּׁמַיִם
ומחליק את זקנו המחודד,placeholder,וּמַחֲלִיק אֶת זָקְנוֹ הַמְּחֻדָּד
ומעביר אצבעותיו,placeholder,וּמַעֲבִיר אֶצְבְּעוֹתָיו
בשערו המאפיר אמר לה,placeholder,בִּשְׂעָרוֹ הַמַּאֲפִיר אָמַר לָהּ
כי במקום שתתפעל,placeholder,כִּי בִּמְקוֹם שֶׁתִּתְפַּעֵל
מחיקוייו העלובים של,placeholder,מֵחִקּוּיָיו הָעֲלוּבִים שֶׁל
בשר ודם מוטב שתלך,placeholder,בָּשָׂר וָדָם מוּטָב שֶׁתֵּלֵךְ
לגן-החיות ותראה במו,placeholder,לְגַן-הַחַיּוֹת וְתִרְאֶה בְּמוֹ
עיניה את מעשי ידיו של,placeholder,עֵינֶיהָ אֶת מַעֲשֵׂי יָדָיו שֶׁל
הכביכול כי מי בשחק,placeholder,הַכִּבְיָכוֹל כִּי מִי בַּשַּׁחַק
יערוך לה ידמה לה בבני,placeholder,יַעֲרֹךְ לַה יִדְמֶה לַה בִּבְנֵי
אלים מאז היתה סבתא,placeholder,אֵלִים מֵאָז הָיְתָה סָבְתָא
מבקרת בקביעות,placeholder,מְבַקֶּרֶת בִּקְבִיעוּת
בגן-החיות הירושלמי,placeholder,בַּגַּן-הַחַיּוֹת הַיְּרוּשַׁלְמִי
הקטן שקבע את משכנו,placeholder,הַקָּטָן שֶׁקָּבַע אֶת מִשְׁכָּנוֹ
בעורפה הצפוני של,placeholder,בְּעָרְפָּהּ הַצְּפוֹנִי שֶׁל
העיר כשהוגלה מהר,placeholder,הָעִיר כְּשֶׁהוּגְלָה מַהֵר
הצופים לאחר מלחמת,placeholder,הַצּוֹפִים לְאַחַר מִלְחֶמֶת
השחרור מפעם לפעם,placeholder,הַשִּׁחְרוּר מִפַּעַם לְפַעַם
בסתם בוקר של יום חול,placeholder,בִּסְתַם בֹּקֶר שֶׁל יוֹם חֹל
היתה באה אלינו ולוקחת,placeholder,הָיְתָה בָּאָה אֵלֵינוּ וְלוֹקַחַת
אותי לשם מלווה,placeholder,אוֹתִי לְשָׁם מְלֻוֶּה
בברכתה המפורשת של,placeholder,בְּבִרְכָתָהּ הַמְּפֹרֶשֶׁת שֶׁל
אמא שסבורה היתה כי,placeholder,אִמָּא שֶׁסְּבוּרָה הָיְתָה כִּי
שום רע לא יאונה לבנה אם,placeholder,שׁוּם רַע לֹא יְאֻנֶּה לִבְנָהּ אִם
בתעודת סוף השנה של,placeholder,בִּתְעוּדַת סוֹף הַשָּׁנָה שֶׁל
כיתה ג יירשמו לו,placeholder,כִּתָּה ג יֵרָשְׁמוּ לוֹ
חיסורים אחדים הגן,placeholder,חִסּוּרִים אֲחָדִים הַגַּן
שמקימיו ביקשו לאסוף,placeholder,שֶׁמְּקִימָיו בִּקְּשׁוּ לֶאֱסֹף
אל תוכו את כל,placeholder,אֶל תּוֹכֹו אֶת כָּל
בעלי-החיים הנזכרים,placeholder,בַּעֲלֵי-הַחַיִּים הַנִּזְכָּרִים
או הנרמזים בתנך מן,placeholder,אוֹ הַנִּרְמָזִים בַּתָּנָךְ מִן
הנחש הערום מכל חיית,placeholder,הַנָּחָשׁ הָעָרוּם מִכָּל חַיַּת
השדה והתנין הגדול,placeholder,הַשָּׂדֶה וְהַתַּנִּין הַגָּדוֹל
הרובץ בתוך יאוריו ועד,placeholder,הָרוֹבֵץ בְּתוֹךְ יְאוֹרָיו וַעַד
הדוכיפת אותו תרנגול-בר,placeholder,הַדּוּכִיפַת אוֹתוֹ תַּרְנְגוֹל-בַּר
אגדי שיצא בשליחותו,placeholder,אַגָּדִי שֶׁיָּצָא בִּשְׁלִיחוּתֹו
של שלמה אל מלכת שבא,placeholder,שֶׁל שְׁלֹמֹה אֶל מַלְכַּת שְׁבָא
נושא בפיו את איגרת,placeholder,נוֹשֵׂא בְּפִיו אֶת אִגֶּרֶת
האיומים שלו עורר את,placeholder,הָאִיּוּמִים שֶׁלּוֹ עוֹרֵר אֶת
דמיונה של סבתא היא,placeholder,דִּמְיוֹנָהּ שֶׁל סָבְתָא הִיא
נפלה בלי שחשה בכך,placeholder,נָפְלָה בְּלִי שֶׁחָשָׁה בְּכָךְ
בקסם הסהרורי של,placeholder,בַּקֶּסֶם הַסַּהֲרוּרִי שֶׁל
החלום הציוני שביקש,placeholder,הַחֲלוֹם הַצִּיּוֹנִי שֶׁבִּקֵּשׁ
לשוב ולחבר את הריאליה,placeholder,לָשׁוּב וּלְחַבֵּר אֶת הָרֵאַלְיָה
של החי והצומח המקראי,placeholder,שֶׁל הַחַי וְהַצּוֹמֵחַ הַמִּקְרָאִי
שבמשך דורות,placeholder,שֶׁבְּמֶשֶׁךְ דּוֹרוֹת
התייבשה לה כמו רקפת,placeholder,הִתְיַבְּשָׁה לָהּ כְּמוֹ רַקֶּפֶת
או נשל של נחש בין דפיו,placeholder,אוֹ נֶשֶׁל שֶׁל נָחָשׁ בֵּין דַּפָּיו
של ספר-הספרים אל נופיה,placeholder,שֶׁל סֵפֶר-הַסְּפָרִים אֶל נוֹפֶיהָ
הקונקרטיים הפראיים,placeholder,הַקּוֹנְקְרֵטִיִּים הַפִּרְאִיִּים
למחצה של הארץ הנפקחת,placeholder,לְמֶחֱצָה שֶׁל הָאָרֶץ הַנִּפְקַחַת
אל העולם סבתא אהבה,placeholder,אֶל הָעוֹלָם סָבְתָא אַהֲבָה
לשוטט איתי שם בין,placeholder,לְשׁוֹטֵט אִתִּי שָׁם בְּיֵן
הכלובים שהוקמו,placeholder,הַכְּלוּבִים שֶׁהוּקְמוּ
בחורשת האורנים,placeholder,בְּחֻרְשַׁת הָאֳרָנִים
הקטנה הגולשת אל,placeholder,הַקְּטַנָּה הַגּוֹלֶשֶׁת אֶל
הוואדי הערירי שערוצו,placeholder,הַוָּאדִי הָעֲרִירִי שֶׁעֲרוּצֹו
סימן את קו הגבול עם,placeholder,סִמֵּן אֶת קַו הַגְּבוּל עִם
ירדן בתערובת,placeholder,יַרְדֵּן בְּתַעֲרֹבֶת
משתנה של פחד,placeholder,מִשְׁתַּנָּה שֶׁל פַּחַד
והשתאות התבוננה,placeholder,וְהִשְׁתָּאוּת הִתְבּוֹנְנָה
בדובים הסוריים,placeholder,בַּדֻּבִּים הַסּוּרִיִּים
העורכים קרב של נשיכות,placeholder,הָעוֹרְכִים קְרָב שֶׁל נְשִׁיכוֹת
ומנסים לסרס זה את זה,placeholder,וּמְנַסִּים לְסָרֵס זֶה אֶת זֶה
ואחר-כך קראה בהטעמה,placeholder,וְאַחַר-כָּךְ קָרְאָה בְּהַטְעָמָה
את דברי החכם מכל אדם,placeholder,אֶת דִּבְרֵי הֶחָכָם מִכָּל אָדָם
שהיה יודע מה חמור נוהק,placeholder,שֶׁהָיָה יוֹדֵעַ מָה חֲמוֹר נוֹהֵק
ומה ציפור מצייץ פגוש,placeholder,וּמָה צִפּוֹר מְצַיֵּץ פָּגוֹשׁ
דב שכול באיש ואל כסיל,placeholder,דֹּב שַׁכּוּל בְּאִישׁ וְאַל כְּסִיל
באיוולתו שנרשמו,placeholder,בְּאִוַּלְתֹּו שֶׁנִּרְשְׁמוּ
לצד שמה המדעי של,placeholder,לְצַד שְׁמָהּ הַמַּדָּעִי שֶׁל
החיה חיפשה את,placeholder,הַחַיָּה חִפְּשָׂה אֶת
השפנים המסתתרים,placeholder,הַשְּׁפַנִּים הַמִּסְתַּתְּרִים
בנקיקים המלאכותיים,placeholder,בַּנְּקִיקִים הַמְּלָאכוּתִיִּים
וקראה שם שפנים עם לא,placeholder,וְקָרְאָה שָׁם שְׁפַנִּים עַם לֹא
עצום וישימו בסלע ביתם,placeholder,עָצוּם וַיָּשִׂימוּ בַסֶּלַע בֵּיתָם
או התעכבה ליד מכלאת,placeholder,אוֹ הִתְעַכְּבָה לְיַד מִכְלְאַת
היענים מאריכה מבט,placeholder,הַיְּעֵנִים מַאֲרִיכָה מַבָּט
בביציהן הגדולות,placeholder,בְּבֵיצֵיהֶן הַגְּדוֹלוֹת
המוטלות באדמה ולאחר,placeholder,הַמֻּטָּלוֹת בָּאֲדָמָה וּלְאַחַר
שדיקלמה בפתוס את,placeholder,שֶׁדִּקְלְמָה בְּפָּתוֹס אֶת
דברי אלוהים העונה,placeholder,דִּבְרֵי אֱלֹהִים הָעוֹנֶה
לאיוב מן הסערה כנף,placeholder,לְאִיּוֹב מִן הַסְּעָרָה כְּנַף
רננים נעלסה כי תעזוב,placeholder,רְנָנִים נֶעֱלָסָה כִּי תַּעֲזֹב
לארץ ביציה ועל עפר,placeholder,לָאָרֶץ בֵּיצֶיהָ וְעַל עָפָר
תחמם אמרה כי אביה,placeholder,תְּחַמֵּם אָמְרָה כִּי אָבִיהָ
ראש סופרי קונסול,placeholder,רֹאשׁ סוֹפְרֵי קוֹנְסוּל
אוסטרייך-אונגרן,placeholder,אוֹסְטְרַיְךְ-אוּנְגְּרֶן
בירושלים השתלם,placeholder,בִּירוּשָׁלַיִם הִשְׁתַּלֵּם
בווינה בכתיבה אמנותית,placeholder,בְּוִינָה בִּכְתִיבָה אָמָּנוּתִית
זעירה על גבי ביציהן של,placeholder,זְעִירָה עַל גַּבֵּי בֵּיצֵיהֶן שֶׁל
בנות-יענה בדרכנו,placeholder,בְּנוֹת-יַעֲנָה בְּדַרְכֵּנוּ
הביתה היתה סבתא מסבה,placeholder,הַבַּיְתָה הָיְתָה סָבְתָא מְסִבָּה
מבטה ממגדלה,placeholder,מַבָּטָהּ מִמִּגְדָּלָהּ
המאיים של כנסיית,placeholder,הַמְּאַיֵּם שֶׁל כְּנֵסִיַּת
בית-היתומים שנלר,placeholder,בֵּית-הַיְּתוֹמִים שְׁנֵלֶר
מתעלמת משה-האלוהים,placeholder,מִתְעַלֶּמֶת מִשֵּׂה-הָאֱלֹהִים
הגרמני הדורך שם,placeholder,הַגֶּרְמָנִי הַדּוֹרֵךְ שָׁם
ברגל גאווה על במתי,placeholder,בְּרֶגֶל גַּאֲוָה עַל בָּמֳתֵי
ארץ ונס צלבני אחוז,placeholder,אָרֶץ וְנֵס צַלְבָנִי אָחוּז
בזנבו והיתה אומרת כי,placeholder,בִּזְנָבוֹ וְהָיְתָה אוֹמֶרֶת כִּי
אנחנו היהודים צריכים,placeholder,אֲנַחְנוּ הַיְּהוּדִים צְרִיכִים
להיות גאים באבותינו,placeholder,לִהְיוֹת גֵּאִים בַּאֲבוֹתֵינוּ
שנתנו לעולם את התנך -,placeholder,שֶׁנָּתְנוּ לָעוֹלָם אֶת הַתָּנָךְ -
ספר שהכל כתוב בו ושום,placeholder,סֵפֶר שֶׁהַכֹּל כָּתוּב בּוֹ וְשׁוּם
דבר אינו נפלא ממנו לא,placeholder,דָּבָר אֵינוֹ נִפְלָא מִמֶּנּוּ לֹא
בשמים מעל ולא על הארץ,placeholder,בַּשָּׁמַיִם מֵעַל וְלֹא עַל הָאָרֶץ
מתחת היתה בגן רק חיה,placeholder,מִתַּחַת הָיְתָה בַּגַּן רַק חַיָּה
אחת שסבתא התחמקה,placeholder,אַחַת שֶׁסָּבְתָא הִתְחַמְּקָה
באמתלות שונות ולא,placeholder,בַּאֲמַתְלוֹת שׁוֹנוֹת וְלֹא
משכנעות מלהיפגש,placeholder,מְשַׁכְנְעוֹת מִלְּהִפָּגֵשׁ
עמה פנים אל פנים -,placeholder,עִמָּהּ פָּנִים אֶל פָּנִים -
הטווס העוף הזה,placeholder,הַטַּוָּס הָעוֹף הַזֶּה
ממשפחת הפסיונים,placeholder,מִמִּשְׁפַּחַת הַפַּסְיוֹנִים
אמנם אינו נזכר בשמו,placeholder,אָמְנָם אֵינוֹ נִזְכָּר בִּשְׁמֹו
במקרא אבל מקימי,placeholder,בַּמִּקְרָא אֲבָל מְקִימֵי
גן-החיות התנכי,placeholder,גַּן-הַחַיּוֹת הַתָּנָכִי
הסתמכו ככל הנראה על,placeholder,הִסְתַּמְּכוּ כְּכָל הַנִּרְאֶה עַל
תרגום יונתן ועל,placeholder,תַּרְגּוּם יוֹנָתָן וְעַל
הוולגטה שתירגמו את,placeholder,הַוּוּלְגָּטָה שֶׁתִּרְגְּמוּ אֶת
השם תוכיים העופות,placeholder,הַשֵּׁם תֻּכִּיִּים הָעוֹפוֹת
שייבא שלמה באוניות,placeholder,שֶׁיִּבֵּא שְׁלֹמֹה בָּאֳנִיּוֹת
מתרשיש יחד עם להקות של,placeholder,מִתַּרְשִׁישׁ יַחַד עִם לְהָקוֹת שֶׁל
קופים כטווסים ופרשו,placeholder,קוֹפִים כְּטַוָּסִים וּפָרְשׁוּ
עליהם את חסותם הטווסים,placeholder,עֲלֵיהֶם אֶת חָסוּתָם הַטַּוָּסִים
הבוגרים שהתהלכו,placeholder,הַבּוֹגְרִים שֶׁהִתְהַלְּכוּ
חופשים בתחומי הגן,placeholder,חֳפָשִׁים בִּתְחוּמֵי הַגַּן
אמנם העדיפו להתבודד,placeholder,אָמְנָם הֶעְדִּיפוּ לְהִתְבּוֹדֵד
במקומות מרוחקים שקהל,placeholder,בִּמְקוֹמוֹת מְרֻחָקִים שֶׁקְּהַל
המבקרים לא הגיע אליהם,placeholder,הַמְּבַקְּרִים לֹא הִגִּיעַ אֲלֵיהֶם
אבל לפעמים בייחוד,placeholder,אֲבָל לִפְעָמִים בְּיִחוּד
בשעות הבוקר היו,placeholder,בִּשְׁעוֹת הַבֹּקֶר הָיוּ
יוצאים מן המסתור,placeholder,יוֹצְאִים מִן הַמִּסְתּוֹר
ומטיילים בשבילים,placeholder,וּמְטַיְּלִים בַּשְּׁבִילִים
בוקר אחד - בדיעבד,placeholder,בֹּקֶר אֶחָד - בְּדִיעֲבַד
יתברר כי היה זה,placeholder,יִתְבָּרֵר כִּי הָיָה זֶה
ביקורנו המשותף,placeholder,בִּקּוּרֵנוּ הַמְּשֻׁתָּף
האחרון בגן-החיות - הגיח,placeholder,הָאַחֲרוֹן בְּגַן-הַחַיּוֹת - הֵגִיחַ
לקראתנו פתאום טווס,placeholder,לִקְרָאתֵנוּ פִּתְאוֹם טַוַּס
זכר סבתא ניסתה למהר,placeholder,זָכָר סָבְתָא נִסְּתָה לְמַהֵר
ולפנות לשביל אחר אבל,placeholder,וְלִפְנוֹת לִשְׁבִיל אַחֵר אֲבָל
אני נשארתי נטוע,placeholder,אֲנִי נִשְׁאַרְתִּי נָטוּעַ
במקומי והתבוננתי,placeholder,בִּמְקוֹמִי וְהִתְבּוֹנַנְתִּי
מוקסם בעוף שזנבו,placeholder,מֻקְסָם בָּעוֹף שֶׁזְּנָבוֹ
הארוך המלכותי נגרר,placeholder,הָאָרֹךְ הַמַּלְכוּתִי נִגְרַר
אחריו בכבדות באדמה,placeholder,אַחֲרָיו בִּכְבֵדוּת בָּאֲדָמָה
הבוצית הטווס נתן,placeholder,הַבֻּצִּית הַטַּוָּס נָתַן
בנו את עיניו הקטנות,placeholder,בָּנוּ אֶת עֵינָיו הַקְּטַנּוֹת
ואחר-כך כמו על-פי צו,placeholder,וְאַחַר-כָּךְ כְּמוֹ עַל-פִּי צַו
פנימי הרים בתנועה,placeholder,פְּנִימִי הֵרִים בִּתְנוּעָה
מדהימה את זנבו ופרס אותו,placeholder,מַדְהִימָה אֶת זְנָבוֹ וּפָרַס אוֹתוֹ
כמניפה כשאין-ספור,placeholder,כִּמְנִיפָה כְּשֶׁאֵין-סְפֹר
עיניים זוהרות כחולות,placeholder,עֵינַיִם זוֹהֲרוֹת כְּחֻלּוֹת
ירוקות וזהובות,placeholder,יְרֻקּוֹת וּזְהֻבּוֹת
נערכות לפנינו בתצוגה,placeholder,נֶעֱרָכוֹת לְפָנֵינוּ בִּתְצוּגָה
מרהיבה סבתא הליטה את,placeholder,מַרְהִיבָה סָבְתָא הֵלִיטָה אֶת
פניה בשל,placeholder,פָּנֶיהָ בְּשַׁל
מעשה-התחרים שעל,placeholder,מַעֲשֵׂה-הַתַּחְרִים שֶׁעַל
כתפיה כמו הנביא,placeholder,כְּתֵפֶיהָ כְּמוֹ הַנָּבִיא
מתשבי-גלעד בפתח,placeholder,מִתֹּשָׁבֵי-גִּלְעָד בְּפֶתַח
המערה בהר האלוהים,placeholder,הַמְּעָרָה בְּהַר הָאֱלֹהִים
בחורב אבל כשהרטיט,placeholder,בְּחֹרֵב אֲבָל כְּשֶׁהִרְטִיט
העוף את זנבו ואת כנפיו,placeholder,הָעוֹף אֶת זְנָבוֹ וְאֶת כְּנָפָיו
פער מקורו והשמיע,placeholder,פָּעַר מַקּוֹרֹו וְהִשְׁמִיעַ
צווחה מצמררת תפסה,placeholder,צְוָחָה מְצַמְרֶרֶת תָּפְסָה
בכוח את ידי משכה אותי,placeholder,בְּכֹחַ אֶת יָדִי מָשְׁכָה אוֹתִי
משם ממלמלת באימה,placeholder,מִשָּׁם מְמַלְמֶלֶת בְּאֵימָה
אסור לנו להיות כאן יותר,placeholder,אָסוּר לָנוּ לִהְיוֹת כָּאן יוֹתֵר
עשינו את הדרך בדממה,placeholder,עָשִׂינוּ אֶת הַדֶּרֶךְ בִּדְמָמָה
כמעט בריצה בין בתי,placeholder,כִּמְעַט בְּרִיצָה בֵּין בָּתֵּי
האבן אדומי הגגות,placeholder,הָאֶבֶן אֲדֻמֵּי הַגַּגּוֹת
בתי המורים של שנלר,placeholder,בָּתֵּי הַמּוֹרִים שֶׁל שְׁנֵלֶר
ורק כשהיינו בלב,placeholder,וְרַק כְּשֶׁהָיִינוּ בְּלֵב
שכונת מקור-ברוך וקריאות,placeholder,שְׁכוּנַת מָקוֹר-בָּרוּך וּקְרִיאוֹת
החיזור הצורמניות של,placeholder,הַחִזּוּר הַצּוֹרְמָנִיּוֹת שֶׁל
הטווס כבר נבלעו,placeholder,הַטַּוָּס כְּבָר נִבְלְעוּ
בקולות החיים רק אז הפרה,placeholder,בְּקוֹלוֹת הַחַיִּים רַק אָז הֵפֵרָה
סבתא את השתיקה וידה,placeholder,סָבְתָא אֶת הַשְּׁתִיקָה וְיָדָהּ
עדיין איננה מרפה,placeholder,עֲדַיִן אֵינֶנָּה מַרְפָּה
מידי אמרה ראית את אלף,placeholder,מִיָּדִי אָמְרָה רָאִיתָ אֶת אֶלֶף
העיניים שהוא פתח עלינו,placeholder,הָעֵינַיִם שֶׁהוּא פָּתַח עָלֵינוּ
כששיתפתי,placeholder,כְּשֶׁשִּׁתַּפְתִּי
בחוויותי אלה את הורי,placeholder,בְּחַוָּיוֹתַי אֵלֶּה אֶת הוֹרַי
באותו הערב פסקה אמא,placeholder,בְּאוֹתוֹ הָעֶרֶב פָּסְקָה אִמָּא
למורת-רוחו של אבא כי,placeholder,לְמוֹרַת-רוּחֹו שֶׁל אַבָּא כִּי
סבתא ראתה במניפת,placeholder,סָבְתָא רָאֲתָה בִּמְנִיפַת
העיניים של הטווס את,placeholder,הָעֵינַיִם שֶׁל הַטַּוָּס אֶת
מלאך-המוות די הילד,placeholder,מַלְאַךְ-הַמָּוֶת דַּי הַיֶּלֶד
לא צריך לדעת הכל מחה,placeholder,לֹא צָרִיךְ לָדַעַת הַכֹּל מָחָה
אבא אבל אמא שסירבה,placeholder,אַבָּא אֲבָל אִמָּא שֶׁסֵּרְבָה
תמיד להעלים מפני כל,placeholder,תָּמִיד לְהַעֲלִים מִפָּנַי כָּל
דבר המשיכה והסבירה,placeholder,דָּבָר הִמְשִׁיכָה וְהִסְבִּירָה
כי חכמי התלמוד ציירו,placeholder,כִּי חַכְמֵי הַתַּלְמוּד צִיְּרוֹ
להם את מלאך-המוות,placeholder,לָהֶם אֶת מַלְאַךְ-הַמָּוֶת
בדמותו של יצור מלא,placeholder,בִּדְמוּתֹו שֶׁל יְצוּר מָלֵא
עיניים כטווס שעיניו,placeholder,עֵינַיִם כְּטַוָּס שֶׁעֵינָיו
משוטטות מסוף העולם ועד,placeholder,מְשׁוֹטְטוֹת מְסוֹף הָעוֹלָם וְעַד
סופו ובשעת פטירתו של,placeholder,סוֹפֹו וּבִשְׁעַת פְּטִירָתֹו שֶׁל
אדם הוא עומד למראשותיו,placeholder,אָדָם הוּא עוֹמֵד לִמְרַאֲשׁוֹתָיו
וחרבו שלופה בידו,placeholder,וְחַרְבֹּו שְׁלוּפָה בְּיָדוֹ
סבתא אמנם לא שבה,placeholder,סָבְתָא אָמְנָם לֹא שָׂבָה
להידרש לפרשה מביכה,placeholder,לְהִדָּרֵשׁ לְפָרָשָׁה מְבִיכָה
זו - האינצידנט עם,placeholder,זוֹ - הָאִינְצִידֵנְט עִם
הפאווע בלשונו של אבא,placeholder,הַפָּאוֶע בִּלְשׁוֹנֹו שֶׁל אַבָּא
- אבל שבועות אחדים,placeholder,- אֲבָל שָׁבוּעוֹת אֲחָדִים
אחר-כך כשחזרנו,placeholder,אַחַר-כָּךְ כְּשֶׁחָזַרְנוּ
בשעת בוקר מאוחרת,placeholder,בִּשְׁעַת בֹּקֶר מְאֻחֶרֶת
מפתח-תקווה למחרת,placeholder,מִפֶּתַח-תִּקְוָה לְמָחֳרַת
חתונתו של נתנאל בנה,placeholder,חֲתֻנָּתוֹ שֶׁל נְתַנְאֵל בְּנָהּ
של הדודה נחמה שבו,placeholder,שֶׁל הַדּוֹדָה נֶחָמָה שָׁבוּ
הדברים המודחקים ועלו,placeholder,הַדְּבָרִים הַמֻּדְחָקִים וְעָלוּ
אל פני השטח האוטובוס,placeholder,אֶל פְּנֵי הַשֶּׁטַח הָאוֹטוֹבּוּס
התנהל בכבדות בדרך,placeholder,הִתְנַהֵל בִּכְבֵדוּת בְּדֶרֶךְ
ההרים הצרה העולה,placeholder,הֶהָרִים הַצָּרָה הָעוֹלָה
לירושלים סבתא שלא,placeholder,לִירוּשָׁלַיִם סָבְתָא שֶׁלֹּא
אהבה לישון במיטות,placeholder,אָהֲבָה לִישֹׁן בְּמִטּוֹת
זרים ואפילו הן המיטות,placeholder,זָרִים וַאֲפִלּוּ הֵן הַמִּטּוֹת
שבבתי ילדיה נימנמה,placeholder,שֶׁבְּבָתֵּי יְלָדֶיהָ נִמְנְמָה
לצד אבא על הספסל,placeholder,לְצַד אַבָּא עַל הַסַּפְסָל
שמאחורינו רוחה של,placeholder,שֶׁמֵּאֲחוֹרֵינוּ רוּחָהּ שֶׁל
אמא היתה קצרה חוששת,placeholder,אִמָּא הָיְתָה קְצָרָה חוֹשֶׁשֶׁת
היתה שמא הלקוחות,placeholder,הָיְתָה שֶׁמָּא הַלָּקוֹחוֹת
הקבועים שלנו,placeholder,הַקְּבוּעִים שֶׁלָּנוּ
כשיבואו ויראו את,placeholder,כְּשֶׁיָּבוֹאוּ וְיִרְאוּ אֶת
דלתו הנעולה של סניף,placeholder,דַּלְתּוֹ הַנְּעוּלָה שֶׁל סְנִיף
התנובה שלנו יבגדו,placeholder,הַתְּנוּבָה שֶׁלָּנוּ יִבְגְּדוּ
בנו ויפנו אל החנויות,placeholder,בָּנוּ וְיִפְנוּ אֶל הַחֲנֻיּוֹת
של מתחרינו ולכן ליהגה,placeholder,שֶׁל מִתְחָרֵינוּ וְלָכֵן לִהֲגָה
ללא הרף אמא סקרה את,placeholder,לְלֹא הֶרֶף אִמָּא סָקְרָה אֶת
בתי הגוויל הנטושים,placeholder,בָּתֵּי הַגְּוִיל הַנְּטוּשִׁים
של ליפתא הנאחזים,placeholder,שֶׁל לִיפְתָּא הַנֶּאֱחָזִים
כעזים עקשניות,placeholder,כְּעִזִּים עַקְשָׁנִיּוֹת
במדרון התלול,placeholder,בַּמִּדְרוֹן הַתָּלוּל
שמשמאלנו ושאלה אם,placeholder,שֶׁמִּשְּׂמֹאלֵנוּ וְשָׁאֲלָה אִם
יודע אני כי שמו של,placeholder,יוֹדֵעַ אֲנִי כִּי שְׁמוֹ שֶׁל
הכפר הערבי שיושביו,placeholder,הַכְּפָר הָעֲרָבִי שֶׁיּוֹשְׁבָיו
נמלטו ב- משמר את השם,placeholder,נִמְלְטוּ בְּ- מְשַׁמֵּר אֶת הַשֵּׁם
העברי הקדום מי-נפתוח,placeholder,הָעִבְרִי הַקָּדוּם מֵי-נֶפְתּוֹחַ
